eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:34,IYS:GoA2020:Stn5:trawl:occ:34:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.06,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn6:trawl,IYS:GoA2020:Stn6:trawl:occ:35,IYS:GoA2020:Stn6:trawl:occ:35:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,14,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn6:trawl,IYS:GoA2020:Stn6:trawl:occ:35,IYS:GoA2020:Stn6:trawl:occ:35:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn6:trawl,IYS:GoA2020:Stn6:trawl:occ:36,IYS:GoA2020:Stn6:trawl:occ:36:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn6:trawl,IYS:GoA2020:Stn6:trawl:occ:36,IYS:GoA2020:Stn6:trawl:occ:36:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:37,IYS:GoA2020:Stn7:trawl:occ:37:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:37,IYS:GoA2020:Stn7:trawl:occ:37:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:38,IYS:GoA2020:Stn7:trawl:occ:38:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:38,IYS:GoA2020:Stn7:trawl:occ:38:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.009,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:39,IYS:GoA2020:Stn7:trawl:occ:39:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:39,IYS:GoA2020:Stn7:trawl:occ:39:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
